seed_url,source_page_url,document_url,wrapper_url,extraction_method,page_number,raw_line,property_name,address,phone,email,property_manager,community_type,bedrooms,supportive_services,confidence,notes
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,"Glen Loma Ranch | 1335 W. Luchessa Ave. | 408.770.5245 | Jessica Torres | Senior 62+ & Family | 1,2 & 3 bedroom | N/A | Rental",Jessica Torres,1335 W. Luchessa Ave.,408.770.5245,,,Rental,"1,2 & 3 bedroom",N/A,high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,Monticelli | 841 Monticelli Dr. | 408.848.0003 | Eden Housing | Senior 62+ & Family | 1 & 3 bedroom | N/A | Rental,Eden Housing,841 Monticelli Dr.,408.848.0003,,,Rental,1 & 3 bedroom,N/A,high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,Plum Tree West | 1055 Montebello Dr. | 408.847.2099 | Veronica Comeau | Senior 62+ & Disabled | 1 -2 bedroom | N/A | Rental,Veronica Comeau,1055 Montebello Dr.,408.847.2099,,,Rental,1 -2 bedroom,N/A,high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,Sunset Gardens | 7750 Wren Ave. | 408.847.1333 | Alejandro Cruz | Senior 55+ | 1-2 bedroom | N/A | Rental,Alejandro Cruz,7750 Wren Ave.,408.847.1333,,,Rental,1-2 bedroom,N/A,high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,Wheeler Manor | 651 W. 6th St. | 408.847.5490 | Eden Housing | Senior 62+ | 1 bedroom | Some Assisted Living Services | Rental,Eden Housing,651 W. 6th St.,408.847.5490,,,Rental,1 bedroom,Some Assisted Living Services,high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,"Merrill Gardens at Gilroy | 7600 Isabella Way | 669-205-0195 or 408-842-0113 | N/A | Senior 62+ | Studio, 1, & 2 bedroom | Independent living, assisted living, memory care, & respite care | Rental",N/A,7600 Isabella Way,669-205-0195 or 408-842-0113,,,Rental,"Studio, 1, & 2 bedroom","Independent living, assisted living, memory care, & respite care",high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16517,,pdfplumber_table,1,"Terra Bella Communities | 7990 Westwood Drive | 408-713-2774 | N/A | Adults | N/A | Offer intermediate care faciliy to adults with developmental diabilities including Cerebral Palsy, Intellectual Disabilities, Epilepsy, Autism, and Paralytics | N/A",N/A,7990 Westwood Drive,408-713-2774,,,N/A,N/A,"Offer intermediate care faciliy to adults with developmental diabilities including Cerebral Palsy, Intellectual Disabilities, Epilepsy, Autism, and Paralytics",high,no email detected
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Alexander Station | 200 E. 10th St. | 408.842.0770 | Aperto | General Public | 1-4 bedroom | caguirre@apertopm.com | N/A,Aperto,200 E. 10th St.,408.842.0770,caguirre@apertopm.com,,General Public,1-4 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Aspen Grove | 450 E. Eighth St. | 408.752.8011 | Eden Housing | Agricultural Worker | 2-4 bedroom | veronica.fisher@edenhousing.org | N/A,Eden Housing,450 E. Eighth St.,408.752.8011,veronica.fisher@edenhousing.org,,Agricultural Worker,2-4 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Gilroy Garden | 9250 Wren Ave. #150 | 408.848.0022 | Jeanette Mueller | General Public | 2-4 bedroom | gilroygarden@awimc.com | N/A,Jeanette Mueller,9250 Wren Ave. #150,408.848.0022,gilroygarden@awimc.com,,General Public,2-4 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Gilroy Park | 260 Farrell Ave. | 408.848.0022 | Jeanette Mueller | General Public | 1-4 bedroom | gilroygarden@awimc.com | N/A,Jeanette Mueller,260 Farrell Ave.,408.848.0022,gilroygarden@awimc.com,,General Public,1-4 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,"Gilroy Studios | 9389 Monterey Rd | 408.848.6400 | Eden Housing | Unhoused Individual | Studios | veronica.fisher@edenhousing.org | 25 studios with supportive services, by referral only",Eden Housing,9389 Monterey Rd,408.848.6400,veronica.fisher@edenhousing.org,,Unhoused Individual,Studios,"25 studios with supportive services, by referral only",high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,"Glen Loma Ranch | 1335 W. Luchessa Ave. | 408.770.5245 | Jessica Torres | Senior 62+ & Family | 1,2 & 3 bedroom | oesquivel@apertopm.com | N/A",Jessica Torres,1335 W. Luchessa Ave.,408.770.5245,oesquivel@apertopm.com,,Senior 62+ & Family,"1,2 & 3 bedroom",N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Harvest Park | 31 Cohansey | 408.841.4585 | Aperto | General Public | 1-3 bedroom | cnarte@apertopm.com | N/A,Aperto,31 Cohansey,408.841.4585,cnarte@apertopm.com,,General Public,1-3 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Lilly Gardens | 8800 Lilly Ave. | 408.842.8387 | Ennio Perez | General Public | 1-3 bedroom | lillymgr@loganpm | N/A,Ennio Perez,8800 Lilly Ave.,408.842.8387,lillymgr@loganpm,,General Public,1-3 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Maple Gardens | 544 Stoney Ct. | 408.752.8011 | Eden Housing | Agricultural Worker | 2-3 bedroom | veronica.fisher@edenhousing.org | N/A,Eden Housing,544 Stoney Ct.,408.752.8011,veronica.fisher@edenhousing.org,,Agricultural Worker,2-3 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Monterra Village | 860 Mantelli Dr. | 408.846.9490 | Eden Housing | Family | 2-4 bedroom | cristina.campozano@edenhousing.org | N/A,Eden Housing,860 Mantelli Dr.,408.846.9490,cristina.campozano@edenhousing.org,,Family,2-4 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Monticelli | 841 Monticelli Dr. | 408.848.0003 | Eden Housing | Senior 62+ & Family | 1 & 3 bedroom | monticelli@edenhousing.org | N/A,Eden Housing,841 Monticelli Dr.,408.848.0003,monticelli@edenhousing.org,,Senior 62+ & Family,1 & 3 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Park View | 181 Pierce St. | 408.842.6341 | Silvia Barron | Family | 1-3 bedroom | slv.brrn@gmail.com | N/A,Silvia Barron,181 Pierce St.,408.842.6341,slv.brrn@gmail.com,,Family,1-3 bedroom,N/A,high,
https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/797/Affordable-Apartments,https://www.cityofgilroy.org/DocumentCenter/View/16518,,pdfplumber_table,1,Plaza Vasquez | 500 I.O.O.F. Ave. | 408.842.4457 | Carina Salazar | General Public | 1-5 bedroom | pvmail@chavezfoundation.org | N/A,Carina Salazar,500 I.O.O.F. Ave.,408.842.4457,pvmail@chavezfoundation.org,,General Public,1-5 bedroom,N/A,high,
